T1,V1,W1
1481729400,237.9063367,241.7151757
1481733000,239.9530859,243.6940285
1481736600,236.1381906,239.6058928
1481740200,237.581645,241.1039918
1481743800,238.9744641,242.4315978
1481747400,240.1051977,243.7469989
1481751000,241.3360243,244.6856524
1481754600,241.3412179,244.892133
1481758200,238.5706298,241.8187535
1481761800,235.9275093,238.100693
1481765400,234.6994242,236.043165
1481769000,230.9724232,232.5654766
1481772600,228.3328278,231.7124137
1481776200,230.9565761,232.5105758
1481779800,230.429223,232.3818019
1481783400,233.208521,235.6238498
1481787000,236.6947624,238.4365193
1481790600,232.9352598,235.8296369
1481794200,232.6958928,235.5224357
1481797800,233.3983057,235.0224826
1481801400,233.2902549,235.4675989
1481805000,229.6395922,232.7852562
1481808600,232.6425574,235.5184293
1481812200,237.6436975,241.395902
1481815800,239.4965235,243.1052454
1481819400,239.4110247,243.0818872
1481823000,238.2000879,242.6622891
1481826600,237.3370466,241.2402429
1481830200,238.2249482,242.5510377
1481833800,240.0620397,243.6123387
1481837400,240.9567001,244.7619414
1481841000,241.4517214,244.8090388
1481844600,239.8938249,242.7513566
1481848200,238.2274342,240.4191099
1481851800,234.7448091,236.0477158
1481855400,230.7340663,231.2256882
1481859000,227.8975744,229.7705386
1481862600,230.0745309,231.1072665
1481866200,229.1786315,232.4708113
1481869800,231.4415239,233.4069886
1481873400,236.0394853,237.8429105
1481877000,233.3061732,235.6220406
1481880600,233.1060948,235.4640024
1481884200,235.434897,236.7666734
1482147000,234.9887404,237.0923215
1482150600,233.2782817,236.5808338
1482154200,236.0211335,239.0222551
1482157800,237.9932281,241.3739365
1482161400,239.7026988,244.3339306
1482165000,238.938111,242.7653366
1482168600,240.6787157,244.5854203
1482172200,239.0299447,242.1393998
1482175800,240.4448843,243.5675849
1482179400,238.7007766,242.3815145
1482183000,239.8166977,243.7056896
1482186600,240.2067592,243.332789
1482190200,238.721546,241.8843515
1482193800,236.1980031,237.7907403
1482197400,232.9865582,233.9647812
1482201000,230.0835508,232.7626877
1482204600,230.3453011,230.9773535
1482208200,229.0597691,231.3763919
1482211800,229.1601734,231.2606295
1482215400,232.4490232,233.8363817
1482219000,235.4227985,237.3608916
1482222600,232.6200809,234.8007546
1482226200,232.3653798,234.5019871
1482229800,232.2013575,233.6475308
1482233400,235.6408086,237.9684709
1482237000,231.2501173,234.3058219
1482240600,235.9251402,238.7837887
1482244200,238.4965895,242.3914223
1482247800,239.5317521,243.2026167
1482251400,239.5412802,242.8171914
1482255000,240.7300189,243.6852562
1482258600,239.0469806,242.0473527
1482262200,240.3968955,243.5290489
1482265800,241.5674272,244.6366854
1482269400,238.4439321,241.6920449
1482273000,239.1874474,241.8299796
1482276600,236.7198819,239.4888783
1482298200,229.9945948,232.6256463
1482301800,231.9098129,234.2524022
1482305400,235.5157422,237.7548289
1482309000,232.5808107,235.4486062
1482312600,232.1898983,234.0161384
1482316200,232.9265545,234.2680545
1482319800,233.9122288,236.0165601
1482323400,230.970522,233.8027062
1482327000,234.2122116,236.4893922
1482330600,237.3012915,240.9446961
1482334200,239.721709,242.9281968
1482337800,239.0627356,242.5557379
1482341400,240.9979019,244.7794837
1482345000,241.6132867,245.5098149
1482348600,240.576876,244.1512378
1482352200,241.0397963,244.5485846
1482355800,241.6184535,244.9463456
1482359400,242.0569666,245.2870956
1482363000,239.6739013,242.6972241
1482366600,239.602832,242.0950893
1482370200,235.5443532,237.2228407
1482373800,232.7365565,233.8429083
1482377400,231.1547533,233.1935692
1482381000,230.4345018,233.1444112
1482384600,230.9077128,234.0139902
1482388200,233.8113975,236.1467673
1482391800,237.7635634,239.3139279
1482395400,233.775599,236.2329824
1482399000,234.4017329,236.4085384
1482402600,233.7326892,237.3419506
1482406200,235.383378,238.0635252
1482409800,232.3197058,235.6012591
1482413400,234.0219432,237.4307562
1482417000,238.4081236,241.3623982
1482420600,239.5985341,243.6129257
1482424200,239.2174229,243.1177684
1482427800,240.67206,244.8863997
1482431400,238.7879015,243.0110928
1482435000,239.7090801,244.4220088
1482438600,241.0511592,245.7281621
1482442200,239.8937364,244.5595111
1482445800,238.6279678,243.2441692
1482449400,237.206851,240.9806776
1482453000,235.1849145,238.6001124
1482456600,232.3748859,235.8801105
1482460200,230.1400573,232.2311334
1482463800,228.4272287,229.8799978
1482467400,227.7614474,230.3353415
1482471000,231.9662795,234.6159522
1482474600,234.9307793,237.1656052
1482478200,237.0226598,239.908449
1482481800,234.3853256,237.1424064
1482485400,234.4938958,236.5316559
