,T1,V1,W1,CNumber,Closeness_Value
0,1514349000.0,230.66852440000002,231.6809317,1.0,0.0
1077,1512120600.0,229.8856466,231.190153,1.0,0.0001343846941064538
3669,1483835399.9999998,238.6758695,242.8570025,1.0,0.0002956097739269555
4350,1484159400.0,241.9477561,245.67016149999998,1.0,7.102690016050174e-05
2664,1484173800.0,241.57205700000003,245.47221429999996,1.0,0.00021991740045018107
3556,1512441000.0,229.89766139999998,231.3305721,1.0,0.00016003737177565497
3538,1510997400.0,229.0492726,230.5954992,1.0,0.00013823652214064894
2696,1484083800.0,241.5438608,245.390489,1.0,0.00015149282041229702
1999,1484292600.0,241.9274148,245.0596548,1.0,0.0003935743973498381
2383,1484425799.9999998,241.9384857,245.36645200000004,1.0,0.0004441488836425269
4484,1513816200.0,230.51883,231.60693719999998,1.0,3.157417917333691e-05
3463,1506699000.0,227.7865354,229.58738,1.0,0.0005562467363838826
4614,1513589400.0,230.5025243,231.5947505,1.0,0.00010436797319954199
629,1484335800.0,241.0057799,244.62100030000002,1.0,0.00043762535738042
4760,1493267400.0,216.69683330000004,234.7981159,1.0,0.0
552,1484004600.0,238.3783838,241.85290560000004,1.0,0.0005595695687495676
47,1527584400.0,222.5645555,223.16784440000004,1.0,0.0
121,1484155800.0,239.87113370000003,243.63000450000004,1.0,0.0002681653712392879
2640,1483821000.0,239.91970030000002,243.7705728,1.0,0.0001540590261913669
1049,1484163000.0,239.60370689999996,243.66710009999997,1.0,0.0005330174838409171
786,1512459000.0,230.11969559999997,231.14726520000002,1.0,0.00019221669046071957
899,1484245800.0,243.5410022,247.0405818,1.0,3.4516124208998894e-05
2029,1484073000.0,240.06516519999997,243.7431075,1.0,7.517273751437275e-05
4053,1503160200.0,226.2018069,228.54481060000003,1.0,0.0004716833706812504
2515,1511227800.0,228.97254280000004,230.5918065,1.0,0.0004494156305388626
2493,1483986600.0,240.1454421,244.0830382,1.0,0.00013111963561573346
3922,1513225800.0,230.4291089,231.3605885,1.0,0.0001616315770270093
4134,1514262600.0,230.8584005,231.43634319999998,1.0,0.0004305257220678235
5521,1483817400.0,238.501421,242.4815506,1.0,5.995495081008602e-05
1571,1484177400.0,240.1634082,243.89448389999998,1.0,0.0002482330540139995
5548,1483979400.0,239.5778629,243.0960503,1.0,0.00010718880122689335
187,1484076600.0,239.6126033,243.53463899999997,1.0,0.0002144956480718628
2587,1508067000.0,227.8171193,229.74111939999997,1.0,0.00016038655870315218
2059,1499833800.0,224.3121436,227.6767121,1.0,0.000392992168825423
1016,1483997399.9999998,240.5626808,244.1516061,1.0,3.1771327976953614e-06
